CD_UF;UF;Nome_UF;Densidade_populacional_projetada;IDHM 2010;Renda per capita 2010;SaldoEmprego_12;casosAcumulado_12;Valor_compra_12;Valor_contratado_12;Taxa_prop_media_12;Area_privativa_12;População_estimada;SDO_emprego pela pop_estim;Val_compr pela pop_estim;Val_contr pela pop_estim;SdoEmpresas_12
53;DF;Distrito Federal;530,3356279;0,824;1715,11;-1023,0;251701;239597,96;631486024,85;7,639862910695259;59,85;3055149;-0,0003348445525897428;0,078424312529438;206,69565538374724;38649,0
52;GO;Goiás;20,90724292;0,735;810,97;-1208,0;308868;150000,0;679966096,26;7,35590427222781;76,12;7113540;-0,0001698169968820025;0,02108654762607647;95,5875831526919;77671,0
51;MT;Mato Grosso;3,904110359;0,725;762,52;-4203,0;179427;190000,0;316617081,51;7,411909034222088;69,22;3526220;-0,0011919279001310185;0,053882060676872116;89,78937261713676;39731,0
50;MS;Mato Grosso do Sul;7,866190059;0,729;799,34;-2466,0;133761;160000,0;245979368,18;7,545628910196593;60,54;2809394;-0,0008777693694796814;0,05695178390784632;87,55602388984956;30206,0
25;PB;Paraíba;71,53310233;0,658;474,94;1185,0;166484;130000,0;201023919,4;6,682908989185691;52,65;4039277;0,0002933693331752192;0,032183977479137975;49,76730226721267;27561,0
24;RN;Rio Grande do Norte;66,92277414;0,684;545,42;-1038,0;118083;119000,0;158394908,72;7,082023865261141;70,73;3534165;-0,00029370445352721225;0,03367131981670352;44,818198561753626;23497,0
23;CE;Ceará;61,70212183;0,682;460,63;3058,0;329200;150000,0;369524705,98;7,259361313648098;84,0;9187103;0,00033285792050007497;0,01632723612655698;40,22211419421335;58186,0
22;PI;Piauí;13,03439327;0,646;416,93;-344,0;142672;115000,0;84553907,86;7,110041996629012;65,0;3281480;-0,00010483074710191742;0,03504516254860612;25,767003870204906;16972,0
29;BA;Bahia;26,43711083;0,66;496,73;-1265,0;486416;150000,0;492131423,90000004;7,3068908802458195;68,9;14930634;-8,472513625342366e-05;0,010046458844279486;32,961187307920085;96517,0
28;SE;Sergipe;105,6979921;0,665;523,53;737,0;112505;130000,0;115230505,13;7,288047713396326;66,67;2318822;0,0003178337966432956;0,0560629492043805;49,69355350690997;15386,0
27;AL;Alagoas;120,4263026;0,631;432,56;1442,0;104810;120000,0;113492214,80000001;7,23162229215391;76,2;3351543;0,0004302495895174253;0,03580440412072887;33,862676027131386;19562,0
26;PE;Pernambuco;98,06086356;0,673;525,64;-3355,0;222166;130000,0;366705263,40999997;7,1042333305357115;60,82;9616621;-0,00034887514023896753;0,013518261767828846;38,132444172438525;60123,0
21;MA;Maranhão;21,5821803;0,639;360,34;-3662,0;200938;134500,0;143433204,03999996;7,294464171906955;69,93;7114598;-0,0005147163620488467;0,018904792653077516;20,160408787678513;29247,0
14;RR;Roraima;2,822251045;0,707;605,59;298,0;66876;188000,0;23757372,06;7,73242729481419;60,73;631181;0,0004721308150910753;0,2978543397218864;37,63955515137496;3771,0
13;AM;Amazonas;2,698692078;0,674;539,8;-2066,0;201013;310000,0;155393326,37;7,430409576753305;84,26;4207714;-0,000491002953147481;0,07367420884594343;36,93058187177171;28392,0
12;AC;Acre;5,44832373;0,663;522,15;-77,0;41620;201450,0;26736531,22;8,139436189531247;81,56;894470;-8,6084496964683e-05;0,22521716770825181;29,89092000849665;4447,0
11;RO;Rondônia;7,555600607;0,69;670,82;86,0;95729;150000,0;87750922,27000001;7,698849338295392;69,07;1796460;4,787192589871191e-05;0,08349754517217194;48,846577307593826;13063,0
17;TO;Tocantins;5,732200966;0,699;586,62;99,0;90358;180000,0;79917613,91;7,609453877755295;84,7;1590248;6,225444081677827e-05;0,1131898923941423;50,25481177149727;12308,0
16;AP;Amapá;6,048770905;0,708;598,98;66,0;68201;225000,0;17987855,37;8,165600434261217;92,0;861773;7,658629360632093e-05;0,26108963729427587;20,873078374467525;4694,0
15;PA;Pará;6,975639568;0,646;446,76;-6544,0;293540;136000,0;150621176,49;7,574290724732474;67,92;8690745;-0,0007529849282196175;0,01564883102656907;17,331215734669467;51617,0
35;SP;São Paulo;186,4854959;0,783;1084,46;-46966,0;1462084;250000,0;6793048923,86;7,367037263184679;64,66;46289333;-0,001014618205883416;0,005400812321058936;146,75192930215692;589082,0
33;RJ;Rio de Janeiro;396,9375978;0,761;1039,3;4745,0;434648;260000,0;1361999435,51;7,479736110978294;69,54;17366189;0,00027323208333158186;0,014971621004470238;78,42822829522355;235799,0
32;ES;Espírito Santo;88,20620245;0,74;815,43;-1937,0;246329;190000,0;221329424,04;7,903846324690866;69,96;4064052;-0,0004766179172904284;0,04675137030726969;54,46028349046715;49806,0
31;MG;Minas Gerais;36,30376471;0,731;749,69;-5337,0;539783;165000,0;1410503602,02;7,479332394784139;64,32;21292666;-0,0002506496837925321;0,007749147053732022;66,24363534467689;213408,0
43;RS;Rio Grande do Sul;40,54910584;0,746;959,24;-1251,0;449674;180000,0;1149207355,05;7,7170237518730875;57,08;11422973;-0,00010951614785397812;0,015757719115680306;100,60492614750993;117124,0
42;SC;Santa Catarina;75,75942944;0,774;983,9;-12970,0;482443;187914,0;742128521,01;7,722709908296562;65,0;7252502;-0,0017883483520583655;0,02591023070383159;102,32724113829958;102938,0
41;PR;Paraná;57,78674775;0,749;890,89;-9659,0;413412;170000,0;1247728106,03;7,548455685876123;61,75;11516840;-0,0008386849170432167;0,01476099346695795;108,33944953910968;144407,0
