CD_UF;UF;Nome_UF;Densidade_populacional_projetada;IDHM 2010;Renda per capita 2010;SaldoEmprego_var;casosAcumulado_12;Valor_compra_var;Valor_contratado_var;Taxa_prop_media_var;Area_privativa_var;População_estimada;SDO_emprego pela pop_estim;Val_compr pela pop_estim;Val_contr pela pop_estim;SdoEmpresas_var
53;DF;Distrito Federal;530,3356279;0,824;1715,11;-2480,0;251701;-402,04000000000815;400089335,14000005;-0,4019951414075553;-1,3900000000000006;3055149;-0,0008117443699145279;-0,00013159423648404975;130,95575212207328;29921,0
52;GO;Goiás;20,90724292;0,735;810,97;-9289,0;308868;-30000,0;368540119,03;-0,3984894337788978;-6,5;7113540;-0,0013058196059908289;-0,004217309525215294;51,80825848030656;60071,0
51;MT;Mato Grosso;3,904110359;0,725;762,52;-13899,0;179427;15000,0;160023050,13;-0,34355791824126847;-0,7800000000000011;3526220;-0,0039416145334097135;0,0042538468955425355;45,3809036673832;30849,0
50;MS;Mato Grosso do Sul;7,866190059;0,729;799,34;-4320,0;133761;-5000,0;123760761,77000003;-0,05601682209579728;-7,779999999999994;2809394;-0,0015376981655118506;-0,0017797432471201974;44,05247600372181;23441,0
25;PB;Paraíba;71,53310233;0,658;474,94;3712,0;166484;-28540,5;102181194,73000002;-0,7301763424977308;-8,350000000000001;4039277;0,0009189763415581551;-0,0070657446864872105;25,29690207678256;21000,0
24;RN;Rio Grande do Norte;66,92277414;0,684;545,42;53,0;118083;-6000,0;87360605,17;-0,014512886972560146;1,4100000000000108;3534165;1,4996470170464594e-05;-0,001697713604203539;24,718881311427168;18352,0
23;CE;Ceará;61,70212183;0,682;460,63;643,0;329200;-4769,5;216117432,25;-0,09720605385869252;3,969999999999999;9187103;6,998941886250758e-05;-0,0005191516847040901;23,52400231607287;45319,0
22;PI;Piauí;13,03439327;0,646;416,93;-362,0;142672;-15000,0;46175360,31;-0,28318429502881326;-0,23000000000000398;3281480;-0,00011031607689213404;-0,004571108158513841;14,071504415690482;13174,0
29;BA;Bahia;26,43711083;0,66;496,73;-4092,0;486416;-5779,75;253329427,88000003;-0,1725054878817387;12,850000000000009;14930634;-0,00027406739727194436;-0,0003871068033681624;16,96709114160859;75794,0
28;SE;Sergipe;105,6979921;0,665;523,53;554,0;112505;-5000,0;43722912,61;-0,18382825668702552;-3,1299999999999955;2318822;0,0002389144143017446;-0,0021562672770915575;18,855657144015368;11874,0
27;AL;Alagoas;120,4263026;0,631;432,56;6777,0;104810;-17790,0;59100872,150000006;-0,08099388200115065;0,9900000000000233;3351543;0,002022053722718163;-0,005308002910898055;17,63392925288442;15483,0
26;PE;Pernambuco;98,06086356;0,673;525,64;-2787,0;222166;-21000,0;196382609,32999998;-0,22932856038171767;-0,9600000000000009;9616621;-0,00028981073497645377;-0,002183719208649275;20,421165535170825;46734,0
21;MA;Maranhão;21,5821803;0,639;360,34;-4116,0;200938;-15000,0;66761612,72999996;-0,19376486094628298;12,320000000000007;7114598;-0,0005785288220079335;-0,0021083411880755596;9,383750526733902;22851,0
14;RR;Roraima;2,822251045;0,707;605,59;-96,0;66876;45549,5;17233381,32;-0,3398462991547664;7,799999999999997;631181;-0,00015209583304947393;0,07216551195298972;27,30339050129836;2959,0
13;AM;Amazonas;2,698692078;0,674;539,8;-2994,0;201013;145000,0;84361025,93;-0,03448787955664301;39,06;4207714;-0,0007115502622088858;0,034460517040844504;20,04913497685442;22211,0
12;AC;Acre;5,44832373;0,663;522,15;-496,0;41620;15700,0;16909917,75;0,049454607799207295;-0,9399999999999977;894470;-0,0005545183181101658;0,017552293536954845;18,90495796393395;3525,0
11;RO;Rondônia;7,555600607;0,69;670,82;147,0;95729;10000,0;50241062,110000014;0,28827483769187;-0,9000000000000057;1796460;8,182759426872849e-05;0,00556650301147813;27,96670235351748;10190,0
17;TO;Tocantins;5,732200966;0,699;586,62;-142,0;90358;40000,0;51044650,019999996;0,058644424715108556;8,710000000000022;1590248;-8,92942484442678e-05;0,02515330942092051;32,0985469058914;9538,0
