MUNICIPIO_IBGE;REGIAO;UF;MUNICIPIO_DESCRICAO;Capital;IDHM_2010;Renda_2010;SaldoEmprego_12;Dens_Demográfica;casosAcumulado_12;Perc_EnsinoMedio_2010;Perc_EnsinoSuper_2010;Preco_dez_2020;POPULAÇÃO ESTIMADA;SdoEmpresas_12;Contratacoes2020
1302603;Norte;AM;Manaus;1;0,625;762,54;-1451,0;158,06;82218;49,86;10,97;5046,799519;2219580;23234,0;-2,970542293
2507507;Nordeste;PB;João Pessoa;1;0,697;627,59;1553,0;3421,3;41879;49,91;18,61;4515,431694;817511;11219,0;5,858630823
2304400;Nordeste;CE;Fortaleza;1;0,67;562,53;1804,0;7786,52;81893;45,93;13,73;5947,9329;2686612;29292,0;2,347698891
2927408;Nordeste;BA;Salvador;1;0,753;727,33;523,0;3859,35;109906;52,28;14,59;5210,399506;2886698;33003,0;0,678999443
2704302;Nordeste;AL;Maceió;1;0,64;401,42;840,0;1854,12;36320;41,83;14,24;5194,891963;1025360;10293,0;3,382282477
2607901;Nordeste;PE;Jaboatão dos Guararapes;0;0,732;831,84;604,0;2493,06;13340;38,87;7,77;4514,971258;706867;6761,0;5,634013022
3118601;Sudeste;MG;Contagem;0;0,681;612,8;86,0;3090,33;13392;40,5;8,8;3723,063118;668949;9626,0;0,458953053
3106200;Sudeste;MG;Belo Horizonte;1;0,629;372,93;658,0;7167,02;62890;52,6;22,93;6908,393153;2521564;39254,0;0,557863501
3106705;Sudeste;MG;Betim;0;0,606;351,75;597,0;1102,8;10912;34,95;6,53;3064,125577;444784;5752,0;5,717843118
2611606;Nordeste;PE;Recife;1;0,692;346,4;-93,0;7037,61;50801;49,62;19,11;6212,420604;1653461;18158,0;-0,141774344
3205200;Sudeste;ES;Vila Velha;0;0,731;658,96;1791,0;1951,99;33825;53,37;18,49;5026,32303;501325;8650,0;18,466202
3303302;Sudeste;RJ;Niterói;0;0,699;203,43;640,0;3640,8;22872;65,86;33,68;6800,241545;515317;8955,0;3,762780224
3509502;Sudeste;SP;Campinas;0;0,544;209,0;-1024,0;1358,63;43410;48,72;21,31;5507,321183;1213792;16404,0;-2,518129797
3205309;Sudeste;ES;Vitória;1;0,725;265,69;-1711,0;3327,73;28863;64,08;31,86;7108,805401;365855;5324,0;-7,934962064
3513801;Sudeste;SP;Diadema;0;0,593;264,08;-95,0;12519,1;11589;38,69;7,12;5089,070358;426757;5325,0;-1,075378363
3543402;Sudeste;SP;Ribeirão Preto;0;0,737;606,9;418,0;928,46;30865;48,97;20,87;4115,316588;711825;11247,0;1,816790973
3518701;Sudeste;SP;Guarujá;0;0,73;759,66;551,0;2034,91;10861;37,03;8,67;4807,072042;322750;4375,0;11,46197371
4125506;Sul;PR;São José dos Pinhais;0;0,719;640,64;-793,0;279,16;10370;39,82;10,37;3548,447823;329058;5747,0;-8,621439443
3547809;Sudeste;SP;Santo André;0;0,772;522,77;-206,0;3866,35;27983;51,75;20,14;5543,378186;721368;10547,0;-1,002657529
3550308;Sudeste;SP;São Paulo (território);1;0,692;710,04;-16103,0;7387,69;401718;47,88;20,63;9329,249053;12325232;185148,0;-3,284014986
3549904;Sudeste;SP;São José dos Campos;0;0,556;831,32;-585,0;572,77;25853;50,75;18,04;4886,930318;729737;11194,0;-3,136611494
4208203;Sul;SC;Itajaí;0;0,73;739,45;-34,0;633,75;14659;41,38;13,77;6420,071821;223112;4914,0;-0,403460265
3304557;Sudeste;RJ;Rio de Janeiro (território);1;0,576;1114,31;3709,0;5265,81;165079;53,7;21,26;9437,386038;6747815;102078,0;1,636693711
3549805;Sudeste;SP;São José do Rio Preto;0;0,617;180,77;136,0;946,53;36185;45,13;18,88;4129,355766;464983;7802,0;0,979918868
3534401;Sudeste;SP;Osasco;0;0,749;677,67;309,0;10411,79;18975;42,17;14,19;5852,901299;699944;10526,0;1,949170183
3548807;Sudeste;SP;São Caetano do Sul;0;0,591;302,2;-147,0;9708,79;7608;60,61;31,19;6260,975488;161957;2676,0;-1,390702163
3505708;Sudeste;SP;Barueri;0;0,751;609,76;-2458,0;3639,94;11454;41,77;12,18;7072,154563;276982;5313,0;-9,768038881
3541000;Sudeste;SP;Praia Grande;0;0,754;212,64;512,0;26,09;9333;24,26;7,06;4000,404844;330845;5684,0;10,29704563
3548708;Sudeste;SP;São Bernardo do Campo;0;0,731;2043,74;-440,0;1872,59;33828;50,28;19,21;5066,004187;844483;11884,0;-1,776098557
4106902;Sul;PR;Curitiba;1;0,721;687,47;-3618,0;4024,84;73822;55,95;25,95;6498,239884;1948626;36809,0;-4,093084294
3548500;Sudeste;SP;Santos;0;0,741;328,99;8,0;1492,23;32311;59,58;27,82;5543,956095;433656;6362,0;0,044857885
4318705;Sul;RS;São Leopoldo;0;0,759;884,18;-586,0;2083,79;12629;39,12;10,5;4126,209866;238648;2768,0;-10,30420257
4205407;Sul;SC;Florianópolis;1;0,732;652,52;973,0;627,24;42079;65,21;31,47;7418,607743;508826;11294,0;3,483397476
4216602;Sul;SC;São José;0;0,739;540,26;615,0;1388,17;21702;52,03;15,73;4297,244226;250181;4171,0;6,207105369
4113700;Sul;PR;Londrina;0;0,646;781,28;-628,0;306,49;23578;45,33;19,07;3971,839623;575377;7907,0;-3,847331986
4202008;Sul;SC;Balneário Camboriú;0;0,845;1625,59;1174,0;2309,74;14706;57,07;25,66;7711,748932;145796;3344,0;24,00867093
4304606;Sul;RS;Canoas;0;0,757;692,87;210,0;2470,13;14815;42,35;10,35;4666,305069;348208;4974,0;2,521371626
