MUNICIPIO_IBGE;REGIAO;UF;MUNICIPIO_DESCRICAO;Capital;IDHM_2010;Renda_2010;SaldoEmprego_01;Dens_Demográfica;Perc_EnsinoMedio_2010;Perc_EnsinoSuper_2010;Preco_jan_2020;POPULAÇÃO ESTIMADA;SdoEmpresas_01;Contratacoes2020
1302603;Norte;AM;Manaus;1;0,625;762,54;878,0;158,06;49,86;10,97;4611,637209;2219580;4904,0;-2,970542293
2507507;Nordeste;PB;João Pessoa;1;0,697;627,59;41,0;3421,3;49,91;18,61;4329,07725;817511;2702,0;5,858630823
2304400;Nordeste;CE;Fortaleza;1;0,67;562,53;948,0;7786,52;45,93;13,73;5744,260562;2686612;6393,0;2,347698891
2927408;Nordeste;BA;Salvador;1;0,753;727,33;1113,0;3859,35;52,28;14,59;5037,085869;2886698;6872,0;0,678999443
2704302;Nordeste;AL;Maceió;1;0,64;401,42;-427,0;1854,12;41,83;14,24;4831,409966;1025360;2205,0;3,382282477
2607901;Nordeste;PE;Jaboatão dos Guararapes;0;0,732;831,84;-358,0;2493,06;38,87;7,77;4640,425224;706867;1437,0;5,634013022
3118601;Sudeste;MG;Contagem;0;0,681;612,8;-236,0;3090,33;40,5;8,8;3726,256155;668949;2199,0;0,458953053
3106200;Sudeste;MG;Belo Horizonte;1;0,629;372,93;-1173,0;7167,02;52,6;22,93;6623,54317;2521564;9180,0;0,557863501
3106705;Sudeste;MG;Betim;0;0,606;351,75;440,0;1102,8;34,95;6,53;3025,087634;444784;1295,0;5,717843118
2611606;Nordeste;PE;Recife;1;0,692;346,4;-549,0;7037,61;49,62;19,11;6236,01105;1653461;3981,0;-0,141774344
3205200;Sudeste;ES;Vila Velha;0;0,731;658,96;381,0;1951,99;53,37;18,49;4633,566558;501325;1883,0;18,466202
3303302;Sudeste;RJ;Niterói;0;0,699;203,43;-819,0;3640,8;65,86;33,68;6762,005909;515317;2099,0;3,762780224
3509502;Sudeste;SP;Campinas;0;0,544;209,0;1107,0;1358,63;48,72;21,31;5377,412672;1213792;3939,0;-2,518129797
3205309;Sudeste;ES;Vitória;1;0,725;265,69;694,0;3327,73;64,08;31,86;6655,024865;365855;1241,0;-7,934962064
3513801;Sudeste;SP;Diadema;0;0,593;264,08;229,0;12519,1;38,69;7,12;4826,231786;426757;1240,0;-1,075378363
3543402;Sudeste;SP;Ribeirão Preto;0;0,737;606,9;465,0;928,46;48,97;20,87;4102,164741;711825;2571,0;1,816790973
3518701;Sudeste;SP;Guarujá;0;0,73;759,66;-300,0;2034,91;37,03;8,67;4724,646778;322750;959,0;11,46197371
4125506;Sul;PR;São José dos Pinhais;0;0,719;640,64;585,0;279,16;39,82;10,37;3406,107039;329058;1819,0;-8,621439443
3547809;Sudeste;SP;Santo André;0;0,772;522,77;-363,0;3866,35;51,75;20,14;5419,86904;721368;2600,0;-1,002657529
3550308;Sudeste;SP;São Paulo (território);1;0,692;710,04;22311,0;7387,69;47,88;20,63;9018,976882;12325232;43795,0;-3,284014986
3549904;Sudeste;SP;São José dos Campos;0;0,556;831,32;649,0;572,77;50,75;18,04;4747,01877;729737;2434,0;-3,136611494
4208203;Sul;SC;Itajaí;0;0,73;739,45;1108,0;633,75;41,38;13,77;6028,919081;223112;1093,0;-0,403460265
3304557;Sudeste;RJ;Rio de Janeiro (território);1;0,576;1114,31;-9554,0;5265,81;53,7;21,26;9287,188084;6747815;22662,0;1,636693711
3549805;Sudeste;SP;São José do Rio Preto;0;0,617;180,77;568,0;946,53;45,13;18,88;4045,627132;464983;1809,0;0,979918868
3534401;Sudeste;SP;Osasco;0;0,749;677,67;-80,0;10411,79;42,17;14,19;5619,836092;699944;2553,0;1,949170183
3548807;Sudeste;SP;São Caetano do Sul;0;0,591;302,2;753,0;9708,79;60,61;31,19;6154,405146;161957;546,0;-1,390702163
3505708;Sudeste;SP;Barueri;0;0,751;609,76;-553,0;3639,94;41,77;12,18;6791,461392;276982;1177,0;-9,768038881
3541000;Sudeste;SP;Praia Grande;0;0,754;212,64;-176,0;26,09;24,26;7,06;3872,531039;330845;1287,0;10,29704563
3548708;Sudeste;SP;São Bernardo do Campo;0;0,731;2043,74;648,0;1872,59;50,28;19,21;4943,129922;844483;2775,0;-1,776098557
